method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.657577184528107,7.920769041161779,0.12123927880656074,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.374538980678946,11.623879132598494,0.21313986171037042,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.469395089929782,7.594128530313482,0.11925017823624498,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.417451277109702,687.1606083756004,4472.893781833644
gls_map,4.062980289593986,6.969253477699158,0.11048324961060439,PeMS7_1026,0.1,103,923,random,0,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1359.1203623247934,11505.530671150918,1225.2395010101336
historical_tod_mean,4.637639283887084,7.868996965634144,0.11958478151591194,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.6014058800810576,11.63164930299029,0.19821628225809515,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
gsp,4.526394170028676,7.592164396331294,0.11651252129674518,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,20.41558303509183,686.3228233494567,4472.87234945205
gls_map,4.015252955522922,6.658627754071264,0.1019911097098952,PeMS7_1026,0.1,103,923,random,1,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,1374.0341397526847,8823.131376003628,1215.88397509705
historical_tod_mean,4.64269495982304,7.855058209889431,0.11963633063959957,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
neighbor_average,7.324694283937243,11.387394412195585,0.20496456779372313,PeMS7_1026,0.1,103,923,random,2,25,3051,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,103,103,0,,,
