method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet
historical_tod_mean,4.027809620596206,7.307524821806649,0.11207059661120015,PeMS7_228,0.1,23,205,random,0,26,2026,,,,
neighbor_average,9.254946928635952,13.534055275976554,0.22887268534566704,PeMS7_228,0.1,23,205,random,0,26,2026,,,,
gsp,4.089284509530391,6.872876539130456,0.1060815304656961,PeMS7_228,0.1,23,205,random,0,26,2026,,19.216007447433086,161.6633347321904,661.254288376412
gls_map,3.963455035840009,6.479003934901108,0.09958679497855066,PeMS7_228,0.1,23,205,random,0,26,2026,,374.50534709826746,1692.2961909354835,111.64355437840028
historical_tod_mean,4.04201846205962,7.343212077441787,0.11343810847503122,PeMS7_228,0.1,23,205,random,1,26,2026,,,,
neighbor_average,8.326105465221318,12.511386252702694,0.22105840256019024,PeMS7_228,0.1,23,205,random,1,26,2026,,,,
gsp,4.100380513957342,7.004539512817699,0.10706354303868444,PeMS7_228,0.1,23,205,random,1,26,2026,,19.21482007855433,161.64249249149069,661.2410696051451
gls_map,3.9737951509016747,6.536624235530901,0.09882287694497992,PeMS7_228,0.1,23,205,random,1,26,2026,,372.783181225131,1836.9161008936019,111.01361521820914
historical_tod_mean,4.122784468157181,7.42846677494494,0.11559384298240888,PeMS7_228,0.1,23,205,random,2,26,2026,,,,
neighbor_average,8.24129996612466,12.167425565437815,0.21558938784194123,PeMS7_228,0.1,23,205,random,2,26,2026,,,,
gsp,4.122420418170302,7.049339515350669,0.11020514795740005,PeMS7_228,0.1,23,205,random,2,26,2026,,19.219616447338723,157.1805255092368,661.3412588891111
gls_map,3.9629784743331493,6.636394852731967,0.10453901712286515,PeMS7_228,0.1,23,205,random,2,26,2026,,376.5776992555869,1676.9727829416709,110.56086732345632
historical_tod_mean,4.100722391598915,7.4266200043266295,0.11443716433507278,PeMS7_228,0.1,23,205,random,3,26,2026,,,,
neighbor_average,8.456095867208674,12.288248162726955,0.2265260674127856,PeMS7_228,0.1,23,205,random,3,26,2026,,,,
gsp,4.134914463819086,7.083379263758708,0.1105206083488558,PeMS7_228,0.1,23,205,random,3,26,2026,,19.21494150776166,161.72565376551506,661.2497596282138
